CITY_NAME,ZIP
DUNCRAIG,6023
BASSENDEAN,6054
HILLARYS,6025
DIANELLA,6059
GREENWOOD,6024
BAYSWATER,6053
WOODVALE,6026
STIRLING,6021
SPEARWOOD,6163
YOKINE,6060
NOLLAMARA,6061
THORNLIE,6108
SUBIACO,6008
MOUNT LAWLEY,6050
LANDSDALE,6065
MINDARIE,6030
INGLEWOOD,6052
WANNEROO,6065
MOUNT PLEASANT,6153
BALCATTA,6021
QUINNS ROCKS,6030
GOSNELLS,6110
COMO,6152
SOUTH PERTH,6151
EAST VICTORIA PARK,6101
DALKEITH,6009
NORANDA,6062
GWELUP,6018
MORLEY,6062
BUTLER,6036
WEST LEEDERVILLE,6007
BELMONT,6104
WILSON,6107
HAMILTON HILL,6163
TUART HILL,6060
WILLETTON,6155
BALDIVIS,6171
BALGA,6061
KARRINYUP,6018
MAYLANDS,6051
KENSINGTON,6151
ST JAMES,6102
ELLENBROOK,6069
VICTORIA PARK,6100
KALLAROO,6025
LAKELANDS,6180
ASCOT,6104
HIGH WYCOMBE,6057
ARMADALE,6112
MARANGAROO,6064
PERTH,6000
WARWICK,6024
BEECHBORO,6063
KEWDALE,6105
HAMERSLEY,6022
ROCKINGHAM,6168
PADBURY,6025
DOUBLEVIEW,6018
JOONDANNA,6060
CARINE,6020
PORT KENNEDY,6172
INNALOO,6018
GIRRAWHEEN,6064
CLARKSON,6030
WARNBRO,6169
NORTH PERTH,6006
WINTHROP,6150
LEEMING,6149
SWAN VIEW,6056
ROSSMOYNE,6148
SORRENTO,6020
WESTMINSTER,6061
CLOVERDALE,6105
DARCH,6065
WATTLE GROVE,6107
BICTON,6157
BYFORD,6122
CANNINGTON,6107
SHELLEY,6148
EAST FREMANTLE,6158
CARLISLE,6101
ALEXANDER HEIGHTS,6064
PALMYRA,6157
FORRESTFIELD,6058
CITY BEACH,6015
MELVILLE,6156
EDEN HILL,6054
SUCCESS,6164
KINGSLEY,6026
SEVILLE GROVE,6112
WEMBLEY,6014
SOUTH FREMANTLE,6162
BIBRA LAKE,6163
BECKENHAM,6107
WATERFORD,6152
MOSMAN PARK,6012
COOGEE,6166
RIVERVALE,6103
SOUTHERN RIVER,6110
BALLAJURA,6066
SECRET HARBOUR,6173
APPLECROSS,6153
SHENTON PARK,6008
CARRAMAR,6031
MADDINGTON,6109
CLAREMONT,6010
CHURCHLANDS,6018
JOONDALUP,6027
OCEAN REEF,6027
WEMBLEY DOWNS,6019
GLEN FORREST,6071
BEACONSFIELD,6162
WEST PERTH,6005
COOLOONGUP,6168
PARMELIA,6167
AUBIN GROVE,6164
YANCHEP,6035
EAST CANNINGTON,6107
BEELIAR,6164
COTTESLOE,6011
LEEDERVILLE,6007
MIRRABOOKA,6061
RIVERTON,6148
COOLBINIA,6050
BOORAGOON,6154
MULLALOO,6027
PIARA WATERS,6112
CRAIGIE,6025
AVELEY,6069
HARRISDALE,6112
ARDROSS,6153
BULL CREEK,6149
EMBLETON,6062
BATEMAN,6150
WOODBRIDGE,6056
MENORA,6050
MOUNT CLAREMONT,6010
KOONDOOLA,6064
QUEENS PARK,6107
MIDDLE SWAN,6056
HOCKING,6065
SHOALWATER,6169
BERTRAM,6167
OAKFORD,6121
BELDON,6027
MANNING,6152
ILUKA,6028
NORTH COOGEE,6163
BRENTWOOD,6153
MUNSTER,6166
MERRIWA,6030
ATTADALE,6156
OSBORNE PARK,6017
KENWICK,6107
SINAGRA,6065
ORELIA,6167
BULLSBROOK,6084
KELMSCOTT,6111
MADELEY,6065
HIGHGATE,6003
MARIGINIUP,6078
ASHFIELD,6054
TRIGG,6029
KALAMUNDA,6076
LYNWOOD,6147
MURDOCH,6150
THE VINES,6069
ALFRED COVE,6154
CAVERSHAM,6055
WAIKIKI,6169
BANKSIA GROVE,6031
MAIDA VALE,6057
LEDA,6170
LATHLAIN,6100
PEARSALL,6065
JINDALEE,6036
MARMION,6020
BURNS BEACH,6028
FLOREAT,6014
HELENA VALLEY,6056
EAST PERTH,6004
SCARBOROUGH,6019
CAMILLO,6111
GUILDFORD,6055
LANGFORD,6147
NORTH FREMANTLE,6159
FERNDALE,6148
LESMURDIE,6076
SWANBOURNE,6010
FREMANTLE,6160
CONNOLLY,6027
PARKWOOD,6147
SALTER POINT,6152
BROOKDALE,6112
TAPPING,6065
JANE BROOK,6056
YANGEBUP,6164
EDGEWATER,6027
NORTH BEACH,6020
HAMMOND PARK,6164
SOUTH GUILDFORD,6055
WHITE GUM VALLEY,6162
LANCELIN,6044
BENNETT SPRINGS,6063
WESTFIELD,6111
SINGLETON,6175
STONEVILLE,6081
CALISTA,6167
BENTLEY,6102
GREENMOUNT,6056
HILLMAN,6168
VIVEASH,6056
DAGLISH,6008
MIDVALE,6056
PEPPERMINT GROVE,6011
ROLEYSTONE,6111
BOYA,6056
HAZELMERE,6055
DARLINGTON,6070
MYAREE,6154
JOLIMONT,6014
MOUNT NASURA,6112
MOUNT HELENA,6082
GLENDALOUGH,6016
WELLARD,6170
HILTON,6163
ASHBY,6065
ATWELL,6164
SAMSON,6163
COOLBELLUP,6163
MOUNT RICHON,6112
KINROSS,6028
LOWER CHITTERING,6084
ALKIMOS,6038
SERPENTINE,6125
BEDFORDALE,6112
MEDINA,6167
GOLDEN BAY,6174
ORANGE GROVE,6109
GNANGARA,6077
BRABHAM,6055
MUNDARING,6073
DARLING DOWNS,6122
HENLEY BROOK,6055
BELLEVUE,6056
REDCLIFFE,6104
BANJUP,6164
JANDAKOT,6164
JARRAHDALE,6124
WATERMANS BAY,6020
HUNTINGDALE,6110
MAHOGANY CREEK,6072
KOONGAMIA,6056
FORRESTDALE,6112
GABBADAH,6041
MOUNT HAWTHORN,6016
BURSWOOD,6100
CARDUP,6122
WILLAGEE,6156
KARAWARA,6152
LEDGE POINT,6043
WANDI,6167
SOUTH LAKE,6164
HEATHRIDGE,6027
GIDGEGANNUP,6083
WEST SWAN,6055
HILBERT,6112
KIARA,6054
MUNDIJONG,6123
O'CONNOR,6163
WATTLEUP,6166
UPPER SWAN,6069
MILLENDON,6056
CHAMPION LAKES,6111
JANDABUP,6077
BICKLEY,6076
DAYTON,6055
SEABIRD,6042
CHITTERING,6084
KARNUP,6176
STAKE HILL,6181
HOVEA,6071
COCKBURN CENTRAL,6164
KARDINYA,6163
TWO ROCKS,6037
HERNE HILL,6056
PAULLS VALLEY,6076
NEDLANDS,6009
PARKERVILLE,6081
GUILDERTON,6041
MARTIN,6110
CARMEL,6076
BELHUS,6069
MORANGUP,6083
WOODRIDGE,6041
MARDELLA,6125
PICKERING BROOK,6076
WUNGONG,6112
MIDLAND,6056
EGLINTON,6034
CASUARINA,6167
CRAWLEY,6009
WOODLANDS,6018
SAFETY BAY,6169
BASKERVILLE,6056
NORTH LAKE,6163
LOCKRIDGE,6054
BRIGADOON,6069
BEDFORD,6052
CURRAMBINE,6028
PARKLANDS,6180
WALLISTON,6076
GOOSEBERRY HILL,6076
MANDOGALUP,6167
CANNING VALE,6155
NILGEN,6044
EAST ROCKINGHAM,6168
STRATTON,6056
NORTHBRIDGE,6003
PIESSE BROOK,6076
ANKETELL,6167
HOPELAND,6125
SAWYERS VALLEY,6074
NOWERGUP,6032
KEYSBROOK,6126
HOPE VALLEY,6165
HENDERSON,6166
KARRAKUP,6122
OCEAN FARM,6044
